date,temperature
2016-03-26,12.5
2016-03-27,15.7
2016-03-28,15.0
2016-03-29,16.0
2016-03-30,15.5
2016-03-31,15.1
2016-04-01,17.6
2016-04-02,15.1
2016-04-03,14.6
2016-04-04,14.7
2016-04-05,15.1
2016-04-06,14.0
2016-04-07,17.6
2016-04-08,18.0
2016-04-09,14.9
2016-04-10,12.4
2016-04-11,10.0
2016-04-12,11.1
2016-04-13,16.7
2016-04-14,17.8
2016-04-15,15.5
2016-04-16,15.6
2016-04-17,15.6
2016-04-18,15.0
2016-04-19,12.5
2016-04-20,18.1
2016-04-21,19.9
2016-04-22,18.5
2016-04-23,16.7
2016-04-24,17.0
2016-04-25,21.3
2016-04-26,17.5
2016-04-27,15.1
2016-04-28,18.0
2016-04-29,18.1
2016-04-30,21.8
2016-05-01,23.3
2016-05-02,15.4
2016-05-03,19.1
2016-05-04,20.1
2016-05-05,20.2
2016-05-06,20.6
2016-05-07,20.8
2016-05-08,19.6
2016-05-09,17.8
2016-05-10,20.5
2016-05-11,22.7
2016-05-12,17.1
2016-05-13,17.0
2016-05-14,13.6
2016-05-15,17.5
2016-05-16,21.4
2016-05-17,23.5
2016-05-18,24.0
2016-05-19,23.9
2016-05-20,22.5
2016-05-21,22.2
2016-05-22,23.3
2016-05-23,20.5
2016-05-24,21.1
2016-05-25,21.7
2016-05-26,24.4
2016-05-27,23.5
2016-05-28,23.5
2016-05-29,24.4
2016-05-30,26.0
2016-05-31,24.5
2016-06-01,24.2
