date,humidity
2016-03-20,39.9
2016-03-21,43.5
2016-03-22,41.9
2016-03-23,25.2
2016-03-24,23.2
2016-03-25,26.1
2016-03-26,22.5
2016-03-27,15.4
2016-03-28,27.1
2016-03-29,24.5
2016-03-30,22.5
2016-03-31,51.1
2016-04-01,38.1
2016-04-02,21.6
2016-04-03,18.2
2016-04-04,42.3
2016-04-05,49.9
2016-04-06,51.4
2016-04-07,36.0
2016-04-08,12.6
2016-04-09,39.3
2016-04-10,31.0
2016-04-11,36.0
2016-04-12,69.6
2016-04-13,51.6
2016-04-14,23.7
2016-04-15,43.2
2016-04-16,47.1
2016-04-17,20.7
2016-04-18,28.3
2016-04-19,53.8
2016-04-20,42.0
2016-04-21,41.3
2016-04-22,17.8
2016-04-23,16.8
2016-04-24,41.9
2016-04-25,49.8
2016-04-26,41.2
2016-04-27,64.2
2016-04-28,54.8
2016-04-29,54.8
2016-04-30,62.3
2016-05-01,62.6
2016-05-02,69.0
2016-05-03,37.5
2016-05-04,32.2
2016-05-05,37.8
2016-05-06,18.6
2016-05-07,19.3
2016-05-08,43.7
2016-05-09,61.7
2016-05-10,52.2
2016-05-11,60.4
2016-05-12,56.0
2016-05-13,49.7
2016-05-14,84.5
2016-05-15,51.1
2016-05-16,39.6
2016-05-17,45.6
2016-05-18,50.4
2016-05-19,45.3
2016-05-20,48.5
2016-05-21,47.2
2016-05-22,40.5
2016-05-23,55.6
2016-05-24,46.0
2016-05-25,43.2
2016-05-26,32.0
2016-05-27,39.9
2016-05-28,44.7
2016-05-29,34.7
2016-05-30,46.0
2016-05-31,40.3
2016-06-01,35.3
2016-06-02,34.7
2016-06-03,44.7
2016-06-04,46.2
2016-06-05,55.9
2016-06-06,64.8
2016-06-07,76.6
2016-06-08,71.4
2016-06-09,58.1
2016-06-10,67.8
2016-06-11,37.4
2016-06-12,60.1
2016-06-13,87.8
2016-06-14,81.2
2016-06-15,58.0
2016-06-16,50.5
2016-06-17,53.3
2016-06-18,56.3
2016-06-19,50.7
2016-06-20,63.5
2016-06-21,68.2
2016-06-22,66.3
